"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Andhra Pradesh
"Market Name : A.A.Nagar,Kurnool,RBZ APMC"
Not Reported
Market Name : Achanta APMC
NIL Transaction - No Arrivals
Market Name : Addanki APMC
NIL Transaction - No Arrivals
Market Name : Adoni APMC
NIL Transaction - Other (AMAVASYA - HOLIDAY - NO TRANSACTIONS)
Market Name : Akiveedu APMC
NIL Transaction - No Arrivals
"Market Name : Akkaiahpalem,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Alamuru APMC
NIL Transaction - No Arrivals
Market Name : Allagadda APMC
NIL Transaction - No Arrivals
Market Name : Allavaram APMC
Not Reported
Market Name : Alur APMC
NIL Transaction - No Arrivals
Market Name : Amadalavalasa APMC
NIL Transaction - No Arrivals
"Market Name : Amalapuram(Mpl. Gate),RBZ APMC"
NIL Transaction - No Arrivals
Market Name : Ambajipeta APMC
Banana,3.0,Metric Tonnes,Banana - Ripe,Medium,880.0,2000.0,1440.0,Rs./Quintal
Market Name : Anakapally APMC
Jaggery,28.5,Metric Tonnes,Anakapalli,Grade Range-1,3720.0,4330.0,4025.0,Rs./Quintal
Jaggery,16.3,Metric Tonnes,Anakapalli,Grade Range-2,3480.0,4140.0,3810.0,Rs./Quintal
Jaggery,13.700000000000001,Metric Tonnes,Anakapalli,Grade Range-3,3420.0,3480.0,3450.0,Rs./Quintal
Market Name : Anantapur APMC
Mousambi(Sweet Lime),23.0,Metric Tonnes,Mousambi,Medium,700.0,1200.0,1000.0,Rs./Quintal
Market Name : Anaparthy APMC
Not Reported
Market Name : Angallu APMC
Not Reported
Market Name : Araku Valley APMC
Not Reported
Market Name : Atmakur APMC
NIL Transaction - No Arrivals
Market Name : Atmakur(SPS) APMC
NIL Transaction - No Arrivals
Market Name : Attili APMC
NIL Transaction - No Arrivals
Market Name : B.N.Kandriga APMC
NIL Transaction - No Arrivals
Market Name : Badvel APMC
Not Reported
Market Name : Banaganapalli APMC
NIL Transaction - No Arrivals
Market Name : Bangarupalyam APMC
NIL Transaction - No Arrivals
Market Name : Bapatla APMC
Not Reported
"Market Name : Bapulapadu,RBZ APMC"
Not Reported
Market Name : Bheemunipatnam APMC
NIL Transaction - No Arrivals
Market Name : Bhimadole APMC
NIL Transaction - No Arrivals
Market Name : Bhimavaram APMC
Not Reported
Market Name : Bhimunipatnam APMC
Not Reported
Market Name : Bobbili APMC
NIL Transaction - No Arrivals
"Market Name : C.Camp,RBZ APMC"
Not Reported
"Market Name : CSMLS Point, ,RBZ,Guntur APMC"
Not Reported
Market Name : Chandragiri APMC
Not Reported
Market Name : Chilakaluripet APMC
Not Reported
Market Name : Chintalapudi APMC
NIL Transaction - No Arrivals
Market Name : Chintapally APMC
NIL Transaction - No Arrivals
Market Name : Chipurupalli APMC
Not Reported
Market Name : Chirala APMC
NIL Transaction - No Arrivals
Market Name : Chittoor APMC
Gur(Jaggery),35.2,Metric Tonnes,NO 2,Local,3000.0,3400.0,3000.0,Rs./Quintal
Market Name : Chittor(Rythu Bazar) APMC
Not Reported
Market Name : Chodavaram APMC
NIL Transaction - No Arrivals
Market Name : Cuddapah APMC
Groundnut,64.0,Metric Tonnes,Big (With Shell),FAQ,4266.0,6197.0,5846.0,Rs./Quintal
Turmeric,84.0,Metric Tonnes,Finger,FAQ,12486.0,12979.0,12486.0,Rs./Quintal
Turmeric,11.0,Metric Tonnes,Bulb,FAQ,12699.0,12699.0,12699.0,Rs./Quintal
Market Name : Cumbum(AP) APMC
NIL Transaction - No Arrivals
Market Name : Darsi APMC
NIL Transaction - No Arrivals
Market Name : Denduluru APMC
Lemon,13.200000000000001,Metric Tonnes,Other,Local,1600.0,3000.0,2600.0,Rs./Quintal
Market Name : Dharmavaram APMC
NIL Transaction - No Arrivals
Market Name : Dhone APMC
NIL Transaction - No Arrivals
"Market Name : Dibbala Bazar,RBZ APMC"
Not Reported
Market Name : Divi APMC
Not Reported
Market Name : Duggirala APMC
Turmeric,2.4000000000000004,Metric Tonnes,Bulb,Local,8750.0,12850.0,12850.0,Rs./Quintal
Turmeric,14.3,Metric Tonnes,Finger,Local,8750.0,12850.0,12850.0,Rs./Quintal
Market Name : Durgi APMC
Not Reported
Market Name : Eluru APMC
Lemon,45.5,Metric Tonnes,Lemon,Local,1000.0,1400.0,1200.0,Rs./Quintal
"Market Name : Eluru(P.Sri.Mkt),RBZ APMC"
Not Reported
"Market Name : Eluru-II,RBZ APMC"
Not Reported
Market Name : Etcherla APMC
Not Reported
"Market Name : Fatehkhanpet,RBZ APMC"
Not Reported
Market Name : Gajapathinagaram APMC
Not Reported
"Market Name : Gajuwaka,RBZ,Visakhapatnam APMC"
Not Reported
"Market Name : Gandhi Irvin Park(Tenali),RBZ APMC"
Not Reported
"Market Name : Ganesh Chouk,Rajahmundry,RBZ APMC"
Not Reported
Market Name : Gannavaram APMC
NIL Transaction - No Arrivals
Market Name : Ghantsala HQ Kodali APMC
Not Reported
Market Name : Giddalur APMC
NIL Transaction - No Arrivals
Market Name : Gooti APMC
NIL Transaction - No Arrivals
"Market Name : Gopala Patnam Cent.,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Gopalavaram APMC
NIL Transaction - No Arrivals
Market Name : Gorantla  APMC
Not Reported
Market Name : Gudiwada APMC
