"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Gujarat
Market Name : APMC HALVAD
Castor Seed,94.60000000000001,Metric Tonnes,Castor seed,Local,6000.0,6700.0,6450.0,Rs./Quintal
Cotton,445.12,Metric Tonnes,Local,Local,5255.0,7805.0,6850.0,Rs./Quintal
Cummin Seed(Jeera),59.480000000000004,Metric Tonnes,Cummin Seed(Jeera),Local,17250.0,19510.0,18900.0,Rs./Quintal
Groundnut,244.8,Metric Tonnes,Other,Local,5000.0,7625.0,6800.0,Rs./Quintal
Guar Seed(Cluster Beans Seed),7.48,Metric Tonnes,Other,Local,3890.0,4755.0,4400.0,Rs./Quintal
Soanf,13.700000000000001,Metric Tonnes,Soanf,Local,5425.0,8175.0,6900.0,Rs./Quintal
Wheat,6.6000000000000005,Metric Tonnes,Other,Local,2150.0,2640.0,2550.0,Rs./Quintal
Market Name : APMCKHEDBRAHMA
Not Reported
Market Name : Abadasa APMC
Not Reported
Market Name : Ahmedabad APMC
Banana - Green,2.0,Metric Tonnes,Other,FAQ,500.0,1500.0,1100.0,Rs./Quintal
Beetroot,28.900000000000002,Metric Tonnes,Other,FAQ,800.0,2500.0,1450.0,Rs./Quintal
Bhindi(Ladies Finger),20.3,Metric Tonnes,Other,FAQ,3000.0,7000.0,6250.0,Rs./Quintal
Bitter gourd,9.3,Metric Tonnes,Other,FAQ,3500.0,5000.0,3950.0,Rs./Quintal
Bottle gourd,41.900000000000006,Metric Tonnes,Other,FAQ,500.0,2000.0,1250.0,Rs./Quintal
Brinjal,18.8,Metric Tonnes,Other,FAQ,2000.0,5000.0,4250.0,Rs./Quintal
Cabbage,186.10000000000002,Metric Tonnes,Other,FAQ,400.0,1100.0,800.0,Rs./Quintal
Capsicum,33.9,Metric Tonnes,Capsicum,FAQ,2000.0,3000.0,2700.0,Rs./Quintal
Carrot,195.60000000000002,Metric Tonnes,Other,FAQ,1000.0,1700.0,1350.0,Rs./Quintal
Cauliflower,204.10000000000002,Metric Tonnes,Other,FAQ,900.0,1800.0,1300.0,Rs./Quintal
Colacasia,0.2,Metric Tonnes,Other,FAQ,2000.0,2500.0,2350.0,Rs./Quintal
