"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Maharashtra
Market Name : ACF Agro Marketing  APMC
Not Reported
Market Name : Aarni APMC
Not Reported
Market Name : Aatpadi APMC
Pomegranate,83.4,Metric Tonnes,Other,Local,1000.0,15100.0,8000.0,Rs./Quintal
Market Name : Achalpur APMC
Not Reported
Market Name : Adarsh Krushi Bazar APMC
Not Reported
Market Name : Aheri APMC
NIL Transaction
Market Name : Ahilyanagar APMC
Not Reported
Market Name : Ahmednagar APMC
Apple,1.3,Metric Tonnes,Other,Local,8000.0,14000.0,11000.0,Rs./Quintal
Beans,1.1,Metric Tonnes,Other,Local,2000.0,4000.0,3000.0,Rs./Quintal
Bhindi(Ladies Finger),2.7,Metric Tonnes,Other,Local,3000.0,7000.0,5000.0,Rs./Quintal
Bitter gourd,2.3,Metric Tonnes,Other,Local,1500.0,6000.0,3750.0,Rs./Quintal
Bottle gourd,4.4,Metric Tonnes,Other,Local,800.0,2000.0,1400.0,Rs./Quintal
Brinjal,8.0,Metric Tonnes,Other,Local,1500.0,6500.0,4000.0,Rs./Quintal
Cabbage,9.1,Metric Tonnes,Other,Local,800.0,2200.0,1500.0,Rs./Quintal
Carrot,15.3,Metric Tonnes,Other,Local,1000.0,2500.0,2000.0,Rs./Quintal
Cauliflower,13.3,Metric Tonnes,Other,Local,800.0,2500.0,1650.0,Rs./Quintal
Chikoos(Sapota),1.2,Metric Tonnes,Other,Local,1500.0,5000.0,3250.0,Rs./Quintal
Chilly Capsicum,2.5,Metric Tonnes,Other,Local,2000.0,4100.0,3000.0,Rs./Quintal
Coriander(Leaves),850.0,Bundle,Other,Local,4.0,10.0,7.0,Rs./Bundle
Cucumbar(Kheera),10.9,Metric Tonnes,Other,Local,700.0,2200.0,1450.0,Rs./Quintal
Drumstick,0.1,Metric Tonnes,Other,Local,15000.0,30000.0,25000.0,Rs./Quintal
Garlic,3.6,Metric Tonnes,Other,Local,2000.0,10000.0,6000.0,Rs./Quintal
Ginger(Green),3.7,Metric Tonnes,Other,Local,1500.0,5000.0,3250.0,Rs./Quintal
Green Chilli,2.9,Metric Tonnes,Other,Local,5000.0,7500.0,6250.0,Rs./Quintal
Guar,0.8,Metric Tonnes,Other,Local,3000.0,18000.0,10500.0,Rs./Quintal
Guava,9.4,Metric Tonnes,Other,Local,800.0,3000.0,1900.0,Rs./Quintal
Karbuja(Musk Melon),2.1,Metric Tonnes,Other,Local,500.0,2500.0,1500.0,Rs./Quintal
Lime,3.6,Metric Tonnes,Other,Local,1000.0,3000.0,2000.0,Rs./Quintal
Methi(Leaves),9725.0,Metric Tonnes,Other,Local,4.0,8.0,6.0,Rs./Quintal
Orange,10.3,Metric Tonnes,Other,Local,1000.0,7500.0,4250.0,Rs./Quintal
Papaya,2.6,Metric Tonnes,Other,Local,500.0,2500.0,1500.0,Rs./Quintal
Peas Wet,16.4,Metric Tonnes,Other,Local,3500.0,5000.0,4250.0,Rs./Quintal
Pomegranate,1.2,Metric Tonnes,Other,Local,2000.0,20000.0,11000.0,Rs./Quintal
Potato,49.3,Metric Tonnes,Other,Local,600.0,2200.0,1400.0,Rs./Quintal
Ridgeguard(Tori),1.3,Metric Tonnes,Other,Local,1500.0,5500.0,3500.0,Rs./Quintal
