Commodity,MSP Price (₹/quintal),Season/Year
Paddy (Common),1940,KMS 2021-22
Paddy (Common),2040,KMS 2022-23
Paddy (Common),2183,KMS 2023-24
Paddy (Common),2300,KMS 2024-25
Paddy (Common),2369,KMS 2025-26
Paddy (Grade 'A'),1960,KMS 2021-22
Paddy (Grade 'A'),2060,KMS 2022-23
Paddy (Grade 'A'),2203,KMS 2023-24
Paddy (Grade 'A'),2320,KMS 2024-25
Paddy (Grade 'A'),2389,KMS 2025-26
Jowar (Hybrid),2738,KMS 2021-22
Jowar (Hybrid),2970,KMS 2022-23
Jowar (Hybrid),3180,KMS 2023-24
Jowar (Hybrid),3371,KMS 2024-25
Jowar (Hybrid),3699,KMS 2025-26
Jowar (Maldandi),2758,KMS 2021-22
Jowar (Maldandi),2990,KMS 2022-23
Jowar (Maldandi),3225,KMS 2023-24
Jowar (Maldandi),3421,KMS 2024-25
Jowar (Maldandi),3749,KMS 2025-26
Bajra,2250,KMS 2021-22
Bajra,2350,KMS 2022-23
Bajra,2500,KMS 2023-24
Bajra,2625,KMS 2024-25
Bajra,2775,KMS 2025-26
Ragi,3377,KMS 2021-22
Ragi,3578,KMS 2022-23
Ragi,3846,KMS 2023-24
Ragi,4290,KMS 2024-25
Ragi,4886,KMS 2025-26
Maize,1870,KMS 2021-22
Maize,1962,KMS 2022-23
Maize,2090,KMS 2023-24
Maize,2225,KMS 2024-25
Maize,2400,KMS 2025-26
Arhar,6300,KMS 2021-22
Arhar,6600,KMS 2022-23
Arhar,7000,KMS 2023-24
Arhar,7550,KMS 2024-25
Arhar,8000,KMS 2025-26
Moong,7275,KMS 2021-22
Moong,7755,KMS 2022-23
Moong,8558,KMS 2023-24
Moong,8682,KMS 2024-25
Moong,8768,KMS 2025-26
Urad,6300,KMS 2021-22
Urad,6600,KMS 2022-23
Urad,6950,KMS 2023-24
Urad,7400,KMS 2024-25
Urad,7800,KMS 2025-26
Cotton (Medium Staple),5726,KMS 2021-22
Cotton (Medium Staple),6080,KMS 2022-23
Cotton (Medium Staple),6620,KMS 2023-24
Cotton (Medium Staple),7121,KMS 2024-25
Cotton (Medium Staple),7710,KMS 2025-26
Cotton (Long Staple),6025,KMS 2021-22
Cotton (Long Staple),6380,KMS 2022-23
Cotton (Long Staple),7020,KMS 2023-24
Cotton (Long Staple),7521,KMS 2024-25
Cotton (Long Staple),8110,KMS 2025-26
Jute,4500,2021-22
Jute,4750,2022-23
Jute,5050,2023-24
Jute,5335,2024-25
Jute,5650,2025-26
Copra (milling),10590,2021-22
Copra (milling),10860,2022-23
Copra (milling),11160,2023-24
Copra (milling),11582,2024-25
Copra (milling),12027,2025-26
Copra (ball),11000,2022
Copra (ball),11750,2023
Copra (ball),12000,2024
Copra (ball),12100,2025
Copra (ball),12500,2026
Masur,5500,RMS 2022-23
Masur,6000,RMS 2023-24
Masur,6425,RMS 2024-25
Masur,6700,RMS 2025-26
Masur,7000,RMS 2026-27
Rapeseed & mustard,5050,RMS 2022-23
Rapeseed & mustard,5450,RMS 2023-24
Rapeseed & mustard,5650,RMS 2024-25
Rapeseed & mustard,5950,RMS 2025-26
Rapeseed & mustard,6200,RMS 2026-27
Safflower,5441,RMS 2022-23
Safflower,5650,RMS 2023-24
Safflower,5800,RMS 2024-25
Safflower,5940,RMS 2025-26
Safflower,6540,RMS 2026-27
